Alignment ID	Average Rt(min)	Average Mz	Adduct type	Fill %	S/N average	MS1 isotopic spectrum	MS/MS spectrum	NC	NC	NC	NC	NC	NC	NC	UC	UC	UC	UC	UC	UC	UC	CS	CS	CS	CS	CS	CS	CS
66	20.506	61.98632	[M-H]-	0.032	63.62	61.98632:524773 62.98967:0 63.99303:1587		0.011431191	0.009555111	0.007546843	0.003038347	0.009377651	0.00605336	0.001178894	0.00576797	0.004961839	0.008022418	0.00532814	0.00329483	0.005454812	0.005175471	0.007448285	0.006490791	0.007669604	0.020814745	0.005202421	0.006545126	0.004207346
67	14.505	61.98642	[M-H]-	0.032	7.11	61.98642:52167 62.98977:0 63.99313:116		0.00010868	8.45837E-05	0.0001846	0.000403823	0.000130317	0.000167143	0.000209004	0.000172448	0.000258576	0.000175752	7.859E-05	0.000112391	5.30293E-05	0.000131193	0.000141886	0.000602914	0.000238563	0.000587659	0.000102653	0.00039726	0.000244208
68	2.51	61.98643	[M-H]-	0.159	6.03	61.98643:29454 62.98978:70 63.99314:70		0.000831999	0.00053141	0.000927633	0.000585045	9.99343E-05	0.000443208	0.000378964	0.000547202	0.000388052	0.000185132	0.000589036	0.000389714	6.54884E-05	0.000637795	0.000493118	0.000618508	0.000732088	0.000611012	0.000136246	0.000636715	0.00093067
69	15.367	61.98646	[M-H]-	0.016	11.18	61.98646:36394 62.98981:0 63.99317:47		0.000115027	8.80326E-05	0.00013549	6.44589E-05	0.000349376	0.000967299	0.000721958	0.000304152	0.000222135	0.00063653	0.000136631	0.000117234	6.76286E-05	0.000224838	0.000756863	0.000400215	0.0001219	0.000130044	0.000267386	0.000287534	0.000810829
70	19.712	61.98651	[M-H]-	0.095	56.46	61.98651:475669 62.98986:0 63.99322:1534		0.012358359	0.008882655	0.006734154	0.006106419	0.008539094	0.015977857	0.009598438	0.029852483	0.012588528	0.003906223	0.008436779	0.009733771	0.00133748	0.008634552	0.003899343	0.007424823	0.002741075	0.011062408	0.008283672	0.030417696	0.009437906
71	19.311	61.98652	[M-H]-	0.714	146.88	61.98652:435288 62.98987:0 63.99323:1480		0.011790677	0.009391373	0.008316434	0.008587094	0.009047787	0.006790583	0.006211997	0.008669487	0.008786333	0.006299163	0.005776437	0.010166807	0.006649005	0.00810587	0.009551173	0.008931257	0.008525541	0.01326435	0.004298008	0.006974811	0.008977554
72	23.514	61.98659	[M-H]-	0.222	150.36	61.98659:429273 62.98994:365 63.9933:730		0.00014915	0.000154006	0.000145732	6.77922E-05	0.00031247	0.000102025	7.30179E-05	0.000128472	0.000924557	0.000538391	0.000130771	0.000232398	0.003253461	0	0	0	0	0	0	0	0
73	16.859	61.98662	[M-H]-	0.063	15.87	61.98662:53277 62.98997:52 63.99333:156		0.000910406	0.001297512	0.001504021	0.0015123	0.000874483	0.001196853	0.001182924	0.001182829	0.001408222	0.000718239	0.001110681	0.001296918	0.001319611	0.001838505	0.001370458	0.001309272	0.001033401	0.002241403	0.001118314	0.00170288	0.00108172
74	2.628	61.98668	[M-H]-	0.063	3.05	61.98668:29642 62.99003:40 63.99339:81		0.000126555	7.47473E-05	0.000309488	3.30643E-05	0.000252361	0.000172051	0.000291511	5.43857E-05	3.81709E-05	0.000787249	2.84463E-05	0.000161848	0.000259816	0.000119284	9.73554E-05	0.001115033	0.000263085	0.000102282	0.000147968	0.000116627	0.000290876
75	21.925	61.98677	[M-H]-	0.317	354.91	61.98677:727156 62.99012:1007 63.99348:1007		0.000321767	0.012723198	0.006532659	0.016375153	0.013713937	0.012704881	0.016739069	0.013666471	0.009649894	0.016538386	0.005305565	0.010773801	0.005408923	0.019794679	0.007736671	0.017354728	0.020949009	0.000404886	0.006778793	0.00755298	0.017934186
76	12.217	61.98678	[M-H]-	0.079	8.4	61.98678:43531 62.99013:41 63.99349:143		0.000105629	0.000355591	0.000195105	0.000384983	0.000164488	6.86851E-05	9.31826E-05	0.000111207	0.000375475	8.26738E-05	9.34386E-05	0.000144812	0.000250261	0.000100397	7.2697E-05	0.000492909	0.000168401	0.000524644	0.000323358	0.000149109	0.000106543
77	25.442	61.9868	[M-H]-	0.016	9.12	61.9868:180162 62.99015:0 63.99351:652		0	0	0	0	0	9.49856E-08	0	0	0	0	0	0	0	0	0.000387346	0	0	0	2.21491E-08	0	0
78	23.8	61.98697	[M-H]-	0.016	158.98	61.98697:285295 62.99032:0 63.99368:750		0.000740609	0.000854851	0.005509311	0.004609062	0.000558191	0.000758774	0.000397115	0.00074825	0.000399321	0.000572493	0.000201341	0.000272121	5.90842E-05	0	0	0	0	0	0	0	0
