Alignment ID	Average Rt(min)	Average Mz	Adduct type	Fill %	S/N average	MS1 isotopic spectrum	MS/MS spectrum	NC	NC	NC	NC	NC	NC	NC	UC	UC	UC	UC	UC	UC	UC	CS	CS	CS	CS	CS	CS	CS
27	24.239	56.04925	[M+H]+	0.016	195	56.04925:3687 57.0526:598 58.05596:325		4.76978E-05	2.62073E-07	7.65666E-07	7.41767E-07	1.31741E-06	9.90435E-07	4.22489E-07	1.58603E-06	1.77262E-05	6.36269E-07	1.30556E-06	1.64614E-06	2.36522E-07	2.7269E-07	4.99722E-07	4.88523E-07	4.23421E-07	1.32911E-07	4.31412E-07	2.01052E-07	2.58138E-07
28	24.85	56.05001	[M+H]+	0.032	139.64	56.05001:3119 57.05336:180 58.05672:320		5.3119E-07	2.8422E-07	4.04968E-06	3.179E-06	5.21634E-07	4.59186E-07	1.33006E-07	5.22212E-06	8.2994E-06	2.2879E-07	3.165E-07	1.05073E-07	9.36873E-08	1.75693E-07	1.37554E-07	2.92438E-07	5.01771E-07	1.98565E-07	7.42029E-08	1.2698E-07	1.0962E-07
29	0.534	56.05003	[M+H-2H2O]+	0.73	197.75	56.04916:4574 57.05251:180 58.05587:220	31.99091:10 31.99148:5 40.01803:5 43.00666:5 56.04956:5 56.05032:5 56.05108:5 56.05185:5 56.05643:5	2.911E-06	4.78745E-06	2.16927E-05	4.13828E-06	1.53673E-05	2.80539E-06	8.87227E-06	1.24423E-05	1.66355E-05	1.64211E-05	3.09152E-05	2.61432E-05	4.98847E-06	7.28394E-06	2.00167E-05	1.40269E-05	1.32344E-05	2.06572E-05	1.34204E-05	1.80523E-05	1.53539E-05
30	22.055	56.05017	[M+H]+	0.079	197.21	56.05004:2949 57.05339:280 58.05675:554	56.05171:10	0.000117736	0.000141542	0.000196878	0.0001216	0.000150229	7.4415E-05	8.09739E-05	0.000107235	0.000103929	5.87789E-05	5.77763E-05	9.19239E-05	7.73842E-05	6.75137E-05	7.4913E-05	7.88027E-05	4.33323E-05	5.4117E-05	0.000127362	4.13478E-05	0.000140565
31	1.472	58.06448	[M+H-H2O]+	0.063	96.61	58.06448:1611 59.06783:410 60.07119:150	42.03466:20 42.03598:20	6.54303E-06	1.36795E-05	1.39435E-05	7.35632E-06	8.63551E-06	6.92802E-06	1.09988E-05	3.94256E-06	1.40953E-05	1.34635E-05	1.02862E-05	8.2007E-06	1.39256E-05	6.33044E-06	2.87297E-06	3.54644E-06	7.38153E-06	5.54221E-06	1.01934E-05	6.18498E-06	7.44358E-07
32	22.933	60.04353	[M+H]+	0.016	65.19	60.04353:5983 61.04688:1670 62.05024:130		2.26667E-06	1.97127E-05	7.08876E-06	6.96591E-06	8.42038E-06	4.24831E-05	1.64286E-05	2.89242E-05	1.41381E-05	8.01098E-06	1.25997E-05	1.67316E-05	3.5635E-05	9.02806E-06	2.76971E-05	1.88867E-05	1.72603E-05	1.28395E-05	4.11395E-06	1.15393E-05	2.98945E-05
33	25.561	60.04353	[M+H]+	0.032	97.87	60.04353:3897 61.04688:3538 62.05024:590		7.26791E-07	5.55522E-07	6.20516E-07	4.77779E-07	2.91277E-07	3.23441E-07	1.56477E-07	1.02157E-07	1.41911E-05	3.37339E-07	2.82589E-07	3.57749E-07	1.44371E-07	1.46411E-07	6.26829E-08	1.31851E-07	1.7837E-07	3.50692E-07	1.29424E-07	6.52536E-08	1.06084E-07
34	23.829	60.04363	[M+H]+	0.063	165.27	60.04363:4550 61.04698:1265 62.05034:320		3.74901E-06	1.95392E-05	1.08862E-05	1.44077E-06	1.47733E-06	5.57157E-05	3.28603E-07	6.00647E-06	5.15782E-07	1.2859E-07	8.47767E-08	9.05629E-07	1.62801E-07	2.45238E-07	1.93708E-05	1.12073E-05	1.24409E-05	3.83199E-06	1.01917E-05	1.29625E-06	4.11253E-06
35	23.952	60.04363	[M+H]+	0.032	174.41	60.04363:4594 61.04698:1103 62.05034:50		6.79041E-06	3.28514E-06	1.01786E-06	1.7847E-06	6.96781E-07	5.042E-05	3.21952E-05	9.85553E-06	3.05596E-06	1.7034E-07	2.03464E-07	4.97846E-07	1.53586E-07	6.42982E-05	1.98496E-07	2.11299E-07	1.50031E-07	1.90559E-07	9.31851E-08	7.74225E-07	1.58172E-05
36	22.127	60.04379	[M+H]+	0.079	184.45	60.04369:4436 61.04704:953 62.0504:80	43.01936:120	3.76589E-05	3.63211E-05	7.69839E-05	2.93026E-05	1.90682E-05	5.62419E-05	3.92571E-05	3.24824E-05	4.74642E-05	5.43617E-05	2.91801E-05	6.53154E-05	4.01581E-05	9.1677E-05	8.05841E-05	2.14764E-05	7.23867E-05	7.11104E-05	4.45183E-05	7.2047E-05	6.74855E-05
37	22.229	60.04381	[M+H]+	0.048	121.53	60.04388:5395 61.04723:1818 62.05059:140	42.03359:20 43.02098:70	0.000102721	6.76592E-06	2.53649E-05	1.30097E-05	5.09259E-05	2.16639E-05	2.96869E-05	3.96818E-05	2.49206E-05	8.57376E-06	6.77385E-05	3.10491E-05	3.97234E-05	2.09166E-05	8.22713E-06	1.76274E-05	2.25914E-05	2.26332E-05	1.25869E-05	1.62958E-05	2.59783E-05
38	24.236	60.04432	[M+H]+	0.032	143.63	60.04432:5693 61.04767:1154 62.05103:130		1.72704E-05	4.30022E-07	9.83391E-07	5.81887E-07	6.56801E-07	3.51931E-07	1.43959E-07	3.5322E-07	2.7787E-06	1.837E-07	5.42571E-07	3.22724E-07	1.75088E-07	4.11781E-07	2.47249E-07	1.80872E-07	1.30027E-07	2.38599E-07	3.55484E-07	1.00526E-07	9.9012E-08
39	24.589	60.0445	[M+2H]2+	0.048	162.22	60.0445:5397 61.04785:1626 62.05121:130		1.24647E-06	6.88404E-07	3.1933E-07	8.71901E-07	5.74939E-07	3.56959E-07	1.51783E-07	1.55832E-07	2.16098E-07	3.59049E-07	3.01428E-07	1.90132E-07	1.9659E-07	1.336E-07	4.23109E-07	1.91014E-07	1.75036E-07	1.50525E-07	1.57034E-07	1.67543E-07	1.39678E-07
